53.55,10
51,9
51,9
51,9
53.55,10
49.1464,9.1169
53.6202,10.6773
48,7.85
51,9
50.7167,7.55
56.1833,15.8167
51,9
48,7.85
51.1667,6.9333
51,9
46.9063,7.2483
50.2167,8.6167
48.8,9.2833
51,9
51,9
48,7.85
50.95,10.7167
51,9
51,9
51,9
51,9
51,9
47.1167,9.5333
51,9
51.6167,12.3167
51,9
51,9
51,9
55.6,13
48.7667,9.1833
47.0667,15.1167
51.8,12.4
51,9
51,9
46.2512,7.3456
51.7833,6.15
51,9
51.65,10.3333
50.9333,6.95
49.3561,8.7794
48.15,11.5833
51,9
55.6833,13.0833
47.4822,7.4576
49.4996,8.4938
55.5,13.2333
52.3689,13.1273
51,9
49.4167,8.7
51,9
51,9
50.0833,8.25
46.9103,7.472
51,9
51,9
51,9
51,9
48.0833,11.6833
51,9
51,9
48,7.85
54.3333,10.1333
48,7.85
52.5167,13.4
51,9
48.2054,11.6238
51,9
57.7167,11.9667
53.0833,8.8
51,9
51,9
51,9
51,9
51,9
54.0833,12.1333
47.521,9.3255
49.0047,8.3858
51,9
51,9
48.2,14.4667
47.2137,7.9847
51,9
51,9
49.4478,11.0683
51,9
51,9
54.3333,10.1333
51,9
52.3667,9.7167
47,8
49.4478,11.0683
51,9
51,9
52.8,12.7667
51,9
51,9
52.5,9.1167
51,9
51,9
51,9
47.1189,8.5847
52.25,10.2167
47,8
47.5833,8.2
48,7.85
47.5582,8.8985
50.1167,8.6833
49.4478,11.0683
48.2,16.3667
51,9
51.4833,7.2167
47,8
60.5,14.9667
51,9
51,9
51,9
51,9
50.15,8.95
51,9
50.1833,8.75
51,9
51,9
48.15,11.5833
51.65,6.1833
51,9
51,9
51,9
51,9
47.3333,13.3333
51,9
51,9
51,9
53.0833,8.8
62,15
63.85,15.5833
49.5922,8.2044
47.3333,13.3333
51,9
48.9296,9.202
51,9
51,9
51,9
51.0333,7.55
59.3333,18.05
51,9
57.7167,11.9667
48,7.85
52.3667,9.7167
51,9
47.3433,7.9052
52.0833,10.3333
51,9
51.4833,7.2167
51,9
51,9
51,9
51,9
47.5347,8.8801
48.9167,9.1167
51,9
51,9
51,9
51,9
48,7.85
51,9
51.1833,7.2
48.55,10.3667
51,9
51,9
47,8
51,9
51,9
47,8
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
58.2833,7.9833
51,9
52.5167,13.4
47,8
51.2167,7.8833
51,9
49.7592,8.6175
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
51,9
48.86,2.35
51,9
51,9
51,9
51,9
51,9
51,9
51.1167,12.45
51,9
50.9833,7.1333
51,9
47.3333,13.3333
49.2358,8.4564
51,9
49.75,6.1667
51,9
51,9
47.3333,13.3333
51.4333,6.75
47.3333,13.3333
48,7.85
52.0333,8.5333
59.3333,18.05
51,9
51,9
51,9
47.5833,8.2
51,9
54.3333,10.1333
50.1167,8.6833
48.2,16.3667
62,15
47.4167,15
52.9363,9.2907
47.7833,9.6167
54.3333,10.1333
48.1167,11.1667
51,9
47.1167,15.35
15,100
48,7.85
48,7.85
49.2333,7
59.2667,17.8833
48.15,11.5833
49.9739,9.1492
48,7.85
48,7.85
50.8333,12.9167
52.9667,9.2167
49.7842,9.1861
49.9947,8.5836
52.2333,9.1833
50.1833,8.75
56.2667,14.5
51,9
48.4833,9.2167
48.15,11.5833
53.55,10
49.2978,8.7014
51,9
51.6667,6.45
59.3333,18.05
48.1414,11.502
52.5167,13.4
51.0333,9.4
50.9333,6.95
51,9
51,9
51.4833,7.2167
50.2667,7.3167
49.0047,8.3858
47.65,7.8167
51,9
47.2078,7.5611
48,7.85
48,7.85
53.1667,8.2
54.7833,9.4333
48.55,8.7167
51,9
52.2984,8.0132
51.1833,7.2
50.1167,8.6833
48,7.85
40,-4
52.5049,4.8497
62.6361,17.9411
49.4478,11.0683
47.8833,16.2333
51,9
50.3,10.4833
51.4333,6.75
47.6167,8.1667
47.4167,13.2167
51,9
51,9
51,9
51,9
13.754,100.5014
51,9
51,9
52.2333,8.1667
52.35,4.9167
62,15
51,9
51,9
51,9
52.5167,13.4
47,8
51,9
47.95,16.0833
51.2167,6.7667
51,9
51,9
59.2333,17.9833
47.75,11.55
47.5833,8.2
51,9
51,9
50.15,8.8333
48,7.85
47.3333,13.3333
49.4478,11.0683
51,9
48.4,10.0167
51,9
47.3333,13.3333
52.1167,12.45
51,9
51,9
56,24
62,15
47,8
51,9
50.3,9.1167
51,9
51,9
51.5833,8.1167
48.75,8.25
51,9
51,9
51,9
51,9
47.2704,8.6437
47,8
62,15
47.3333,13.3333
52.6,10.95
50.1,8.7667
53.6633,10.0083
51,9
51,9
52.1167,12.45
47.3667,8.55
47.6163,7.6648
48.15,11.5833
48.15,11.5833
52.35,14.55
51,9
52.5,5.75
58.4167,15.6167
51,9
49.4478,11.0683
50.8167,12.8
47.3833,15.1
56.4649,10.3341
24.4667,54.3667
51.05,5.2167
51,9
51,9
45.8674,8.9821
48.9296,9.202
51,9
52.2,8.5833
48.0726,11.6023
51,9
51.45,6.65
